Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
0.000296354,0.006957833,0.021604899,0.003360308,0.021604899,0.003360308,0.030307746,0,0,0,0.006957138,0.206957138
0.006857157,0.006957833,0.021604899,0.003360308,0.021604899,0.003360308,0.030307746,0,0,0,0.006957138,0.206957138
0.056552887,0.006957833,0.021604899,0.003360308,0.021604899,0.003360308,0.030307746,0,0,0,0.006957138,0.206957138
0.107350111,0.006957833,0.021604899,0.003360308,0.021604899,0.003360308,0.030307746,0,0,0,0.006957138,0.206957138
0.154820919,0.006957833,0.021604899,0.003360308,0.021604899,0.003360308,0.030307746,0,0,0,0.006957138,0.206957138
0.207834959,0.007237832,0.02160584,0.003897714,0.02160584,0.003897714,0.037008565,0.007,-0.007744448,0,0.007237804,0.207237804
0.258547783,0.007377831,0.021606385,0.003658911,0.021606385,0.003658911,0.032720638,0.003,-0.003312049,-0.043000001,0.007377817,0.207377817
0.307267427,0.007657829,0.021607221,0.002316941,0.021607221,0.002316941,0.044769421,0.015,-0.016361944,0,0.007657801,0.207657801
0.357045889,0.008997828,0.021608083,0.001170478,0.021608083,0.001170478,0.051462402,0.022,-0.023749194,0,0.008997694,0.208997694
0.407806635,0.010557826,0.021610814,0.00353524,0.021610814,0.00353524,0.052595617,0.026000001,-0.02867825,0.043000001,0.01055767,0.21055767
0.456919909,0.012777808,0.021619716,0.005059657,0.021619716,0.005059657,0.058456273,0.033,-0.036910523,0.043000001,0.012777586,0.212777586
0.507352829,0.013597797,0.021623865,0.005552583,0.021623865,0.005552583,0.06644131,0.041000001,-0.046066319,0.043000001,0.013597715,0.213597715
0.556826353,0.017357737,0.021645006,0.005169715,0.021645006,0.005169715,0.076587556,0.048999999,-0.054919452,-0.043000001,0.017357737,0.217357737
0.606314898,0.017357737,0.021645006,0.005169715,0.021645006,0.005169715,0.080796929,0.056000002,-0.062765092,0.043000001,0.017357737,0.217357737
0.657645702,0.021757672,0.021668949,0.004420244,0.021668949,0.004420244,0.093293607,0.067000002,-0.074675561,0,0.021757232,0.221757232
0.705987692,0.024377647,0.02168053,0.002986727,0.02168053,0.002986727,0.101397725,0.075000003,-0.082571573,0,0.024377385,0.224377385
0.756195545,0.02879763,0.021692441,0.0007892,0.021692441,0.0007892,0.104943151,0.075000003,-0.080986162,-0.086999997,0.028797188,0.228797188
0.80743432,0.033897628,0.021691328,-0.002804743,0.021691328,-0.002804743,0.112458975,0.086000003,-0.089804381,-0.043000001,0.033897118,0.233897118
0.856810093,0.039757584,0.021669328,-0.006477682,0.021669328,-0.006477682,0.119013003,0.093999997,-0.094644267,-0.043000001,0.039756998,0.239756998
0.906032324,0.043877484,0.021640834,-0.009860934,0.021640834,-0.009860934,0.139423073,0.112999998,-0.109836585,-0.086999997,0.043877072,0.243877072
0.956190586,0.04847722,0.021591403,-0.01359864,0.021591403,-0.01359864,0.13942659,0.112999998,-0.105386429,-0.086999997,0.04847676,0.24847676
1.005872488,0.053136729,0.02152386,-0.017914056,0.02152386,-0.017914056,0.151249746,0.123999998,-0.109941507,-0.130999997,0.053136263,0.253136263
1.056596041,0.058255774,0.021425229,-0.022475373,0.021425229,-0.022475373,0.15170679,0.123999998,-0.103745174,-0.130999997,0.058255774,0.258255774
1.107344389,0.066153381,0.021231102,-0.028355057,0.021231102,-0.028355057,0.166354154,0.138999999,-0.106885111,-0.130999997,0.066152591,0.266152591
1.156172276,0.077367482,0.020868823,-0.038000378,0.020868823,-0.038000378,0.174974259,0.147,-0.096380043,-0.130999997,0.077366361,0.277366361
1.206481695,0.083243139,0.020642908,-0.041996417,0.020642908,-0.041996417,0.16112412,0.147,-0.088928338,-0.043000001,0.083242551,0.283242551
1.259370327,0.089417458,0.020378197,-0.046556686,0.020378197,-0.046556686,0.18027953,0.158000007,-0.086384263,-0.086999997,0.08941684,0.28941684
1.31235671,0.095890161,0.020070848,-0.049751912,0.020070848,-0.049751912,0.18947015,0.169,-0.084492657,-0.043000001,0.095889513,0.295889513
1.356496811,0.102641649,0.019731761,-0.052859878,0.019731761,-0.052859878,0.189140052,0.165999994,-0.075108054,-0.086999997,0.102640974,0.302640974
1.407390833,0.109411854,0.019367526,-0.056692855,0.019367526,-0.056692855,0.204742964,0.180999994,-0.071763272,-0.086999997,0.109411177,0.309411177
1.458458424,0.127617984,0.018257755,-0.067093326,0.018257755,-0.067093326,0.214405353,0.185000002,-0.044109051,-0.130999997,0.127616163,0.327616163
1.5070014,0.135280312,0.017737118,-0.071001539,0.017737118,-0.071001539,0.230293649,0.202999994,-0.035289365,-0.086999997,0.135279546,0.335279546
1.556185722,0.143379345,0.017154024,-0.073777745,0.017154024,-0.073777745,0.235126679,0.207000002,-0.024301782,-0.043000001,0.143378535,0.343378535
1.606051445,0.151556779,0.016546113,-0.075480257,0.016546113,-0.075480257,0.243449679,0.215000004,-0.015132979,-0.043000001,0.151555961,0.351555961
1.665256739,0.160351367,0.015877133,-0.076970409,0.015877133,-0.076970409,0.248977671,0.218999997,-0.0049109,0,0.160350488,0.360350488
1.708952665,0.169145248,0.015198925,-0.078282256,0.015198925,-0.078282256,0.261504422,0.230000004,0.005580039,0.043000001,0.169144369,0.369144369
1.756409407,0.192751044,0.013325947,-0.081332096,0.013325947,-0.081332096,0.272295505,0.245000005,0.036178677,-0.043000001,0.192748683,0.392748683
1.805952072,0.20281737,0.012501775,-0.082266303,0.012501775,-0.082266303,0.278478881,0.252000004,0.049892203,-0.043000001,0.202816364,0.402816364
1.856554985,0.212942632,0.011662504,-0.082257275,0.011662504,-0.082257275,0.289366804,0.263999999,0.063274704,0,0.212942632,0.412942632
1.906560421,0.223546659,0.010788273,-0.081968847,0.010788273,-0.081968847,0.292418378,0.268000007,0.075134495,0.043000001,0.223546659,0.423546659
1.956097841,0.234450316,0.009897321,-0.081037954,0.009897321,-0.081037954,0.292589542,0.270999998,0.085494344,0,0.234449226,0.434449226
2.008154631,0.24541421,0.009006879,-0.078377607,0.009006879,-0.078377607,0.307664989,0.282999992,0.094334025,0.130999997,0.245413114,0.445413114
2.056102276,0.273874309,0.006873894,-0.069821178,0.006873894,-0.069821178,0.306818411,0.286000013,0.101349515,0.086999997,0.273871463,0.473871463
2.109456539,0.285686184,0.006058227,-0.066885761,0.006058227,-0.066885761,0.306896933,0.298000008,0.10900534,0.043000001,0.285685003,0.485685003
2.15695262,0.297659885,0.005264402,-0.064295961,0.005264402,-0.064295961,0.317310547,0.301999986,0.114632612,0.086999997,0.297658687,0.497658687
2.207653522,0.309715595,0.004498728,-0.061626606,0.004498728,-0.061626606,0.321264942,0.308999985,0.120871436,0.086999997,0.30971439,0.50971439
2.256476879,0.321913075,0.003756861,-0.05837563,0.003756861,-0.05837563,0.31505442,0.301999986,0.119520534,0.086999997,0.321911856,0.521911856
2.308103561,0.334032995,0.003059179,-0.054175133,0.003059179,-0.054175133,0.326471733,0.317000002,0.12320595,0.086999997,0.334031783,0.534031783
2.358820438,0.358960686,0.001791013,-0.044164499,0.001791013,-0.044164499,0.326974415,0.317000002,0.111588172,0.174999997,0.358958193,0.558958193
2.406222582,0.378024423,0.001004305,-0.0373924,0.001004305,-0.0373924,0.33689178,0.319999993,0.10356838,0.130999997,0.378022516,0.578022516
2.456201792,0.397152698,0.00033721,-0.028718127,0.00033721,-0.028718127,0.325453913,0.312999994,0.084600737,0.130999997,0.397150785,0.597150785
2.507657528,0.403630032,0.000151142,-0.025814577,0.000151142,-0.025814577,0.289788689,0.324000001,0.08118246,0.174999997,0.403629385,0.603629385
2.567611456,0.429783563,-0.000426918,-0.014899795,-0.000426918,-0.014899795,0.292694995,0.328000009,0.055869945,0.130999997,0.429783563,0.629783563
2.605592012,0.429783563,-0.000426918,-0.014899795,-0.000426918,-0.014899795,0.330635736,0.324000001,0.055188603,0.086999997,0.429783563,0.629783563
2.656080484,0.455801708,-0.000732293,-0.006868302,-0.000732293,-0.006868302,0.332328951,0.312999994,0.032957283,0.043000001,0.455801708,0.655801708
2.711384535,0.468401449,-0.000813379,-0.003514156,-0.000813379,-0.003514156,0.282371325,0.324000001,0.0245621,0.086999997,0.468401449,0.668401449
2.764392853,0.48746139,-0.00085872,0.001504538,-0.00085872,0.001504538,0.260107113,0.308999985,0.008618028,0.086999997,0.48746139,0.68746139
2.822193384,0.506321308,-0.000803374,0.005380261,-0.000803374,0.005380261,0.264714332,0.312999994,-0.004267444,0.043000001,0.506321308,0.706321308
2.864816904,0.524580984,-0.000690265,0.006729442,-0.000690265,0.006729442,0.251846168,0.298000008,-0.009768744,0.043000001,0.524580984,0.724580984
2.911432028,0.536180717,-0.000612205,0.006299067,-0.000612205,0.006299067,0.2716789,0.286000013,-0.009260771,-0.086999997,0.536180717,0.736180717
2.963733912,0.547180519,-0.000542915,0.005968557,-0.000542915,0.005968557,0.298731839,0.270999998,-0.008818252,0,0.547180519,0.747180519
3.017244101,0.55204758,0.01056398,0.00671602,0.01056398,0.00671602,0.287649927,0.25999999,-0.154360209,-0.043000001,0.552047093,0.752047093
3.062927008,0.554125419,0.026618918,0.008539891,0.026618918,0.008539891,0.198145941,0.252000004,-0.350694837,0.043000001,0.554125211,0.754125211
3.112542391,0.566400548,0.033471108,0.00955669,0.033471108,0.009556689,0.301661975,0.275000006,-0.473238461,-0.043000001,0.56639932,0.76639932
