Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
6.99E-05,-0.026835905,0.012605972,0.749887882,0.027889474,-0.035469758,0.4,0,0,0,-0.010063216,0.2
0.003655434,-0.026835905,0.012605972,0.749887882,0.027889474,-0.035469758,0.4,0,0,0,-0.010063216,0.2
0.053937197,-0.026835905,0.012605972,0.749887882,0.027889474,-0.035469758,0.4,0.026000001,-0.024790574,0.043000001,-0.010063216,0.2
0.105083942,-0.024264929,0.015010229,0.761895009,0.027771686,-0.023485144,0.4,0.086000003,-0.094648548,0.218999997,-0.006544694,0.2
0.154903173,-0.017120834,0.021921334,0.779476789,0.027606989,-0.00591642,0.4,0.165999994,-0.223634855,0.263000011,0.003393164,0.203393164
0.205478191,-0.013635555,0.02536558,0.786037741,0.027578043,0.000665573,0.4,0.282999992,-0.40014603,0.307000011,0.008293623,0.208293623
0.255930901,0.004973159,0.044316288,0.804853551,0.027825085,0.019910804,0.4,0.39199999,-0.640286917,0.086999997,0.034838994,0.234838994
0.305105448,0.016040546,0.055843349,0.806535531,0.028161255,0.022107433,0.4,0.430000007,-0.723451797,-0.086999997,0.050801822,0.250801822
0.355029106,0.028064722,0.068364871,0.803521638,0.028536184,0.019871077,0.4,0.449000001,-0.759408479,-0.218999997,0.068135616,0.268135616
0.404768705,0.040295391,0.080992838,0.795151654,0.028856475,0.01252361,0.4,0.444999993,-0.733516963,-0.351000011,0.085683281,0.285683281
0.455159903,0.05913417,0.099912683,0.770831009,0.029013368,-0.009785489,0.4,0.444999993,-0.649560137,-0.526000023,0.112323256,0.312323256
0.505468369,0.078012264,0.11781781,0.733404542,0.028481133,-0.044708375,0.4,0.425999999,-0.475045071,-0.657999992,0.138264685,0.338264685
0.554849386,0.097133283,0.134534455,0.688745851,0.027002198,-0.086394222,0.4,0.421999991,-0.277696617,-0.790000021,0.163537297,0.363537297
0.604713678,0.109965445,0.14493788,0.660055227,0.025471385,-0.112865826,0.4,0.407000005,-0.138033147,-0.702000022,0.179928311,0.379928311
0.655520916,0.122895408,0.154829354,0.632202376,0.023543534,-0.138306983,0.4,0.414999992,-0.004348391,-0.702000022,0.196034342,0.396034342
0.705179691,0.135980423,0.164277598,0.607022384,0.021230013,-0.160873966,0.4,0.400000006,0.123602711,-0.526000023,0.211948856,0.411948856
0.754819155,0.155698321,0.17767579,0.579626955,0.017221053,-0.18398969,0.4,0.395999998,0.280671896,-0.395000011,0.235366102,0.435366102
0.805524826,0.175722606,0.190612557,0.563918691,0.012773409,-0.194892118,0.4,0.39199999,0.39531133,-0.263000011,0.258715593,0.458715593
0.855728388,0.195950889,0.203341445,0.561641079,0.008153877,-0.191785344,0.4,0.388000011,0.456393212,0.130999997,0.282108969,0.482108969
0.904843807,0.209143491,0.211666998,0.567229421,0.005229621,-0.182351292,0.4,0.400000006,0.48267734,0.263000011,0.297407053,0.497407053
0.954785109,0.222615062,0.220299175,0.575826844,0.002402529,-0.169514447,0.4,0.404000014,0.483479848,0.307000011,0.313139202,0.513139202
