Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
7.84E-05,-0.062209735,0.006483527,0.754379163,0.04856562,-0.030425521,0.026188292,0,0,0,-0.039433251,0.2
0.004863977,-0.062209735,0.006483527,0.754379163,0.04856562,-0.030425521,0.026188292,0,0,0,-0.039433251,0.2
0.055993319,-0.062209735,0.006483527,0.754379163,0.04856562,-0.030425521,0.026188292,0,0,0,-0.039433251,0.2
0.107590675,-0.062209735,0.006483527,0.754379163,0.04856562,-0.030425521,0.026188292,0,0,0,-0.039433251,0.2
0.158935547,-0.062209735,0.006483527,0.754379163,0.04856562,-0.030425521,0.026188292,0,0,0,-0.039433251,0.2
0.216801882,-0.061904029,0.006771525,0.758849265,0.048553345,-0.025967933,0.035442382,0.007,-0.010157531,0.086999997,-0.039012821,0.2
0.262563944,-0.061368871,0.007282606,0.768188229,0.048536742,-0.016650698,0.021438544,0.015,-0.02302992,0.174999997,-0.03827196,0.2
0.315874815,-0.060851724,0.007783563,0.774431802,0.04852569,-0.01042787,0.036648254,0.017999999,-0.028707211,0.130999997,-0.037551036,0.2
0.361438751,-0.060323295,0.0083016,0.781480192,0.048518731,-0.003400393,0.013079946,0.015,-0.024923716,0.174999997,-0.036810054,0.2
0.413732052,-0.059954705,0.008668397,0.787234482,0.048517729,0.002339449,0.033492415,0.011,-0.01886824,0.130999997,-0.036289348,0.2
0.461950541,-0.059644558,0.008980502,0.79348333,0.048519332,0.008576232,0.03943367,0.011,-0.019493639,0.043000001,-0.035848764,0.2
0.521639824,-0.0590847,0.009551952,0.799908374,0.048527914,0.014979719,0.043821488,0.015,-0.027539627,0,-0.035047772,0.2
0.563392401,-0.057901687,0.010772804,0.802267027,0.048555429,0.017294176,0.053921233,0.026000001,-0.048904159,0.043000001,-0.033345889,0.2
0.615860462,-0.05712357,0.011578368,0.802973827,0.048575298,0.017973057,0.058489155,0.029999999,-0.057122266,0,-0.032224677,0.2
0.662791252,-0.056192846,0.012542397,0.804462622,0.048599359,0.019429698,0.042714505,0.029999999,-0.058123771,0.086999997,-0.030883338,0.2
0.716569424,-0.055055508,0.013723948,0.806567012,0.048631191,0.02149659,0.071166742,0.045000002,-0.089162058,0,-0.029241838,0.2
0.761901379,-0.053754584,0.01508115,0.807871215,0.048671563,0.022760317,0.055776439,0.048999999,-0.099152852,0.043000001,-0.027360315,0.2
0.815949917,-0.052510106,0.01638164,0.808841736,0.048711653,0.023694594,0.072751163,0.059999999,-0.123745581,0,-0.025558989,0.2
0.861510754,-0.048842458,0.020235308,0.810840577,0.048844268,0.025600673,0.081061202,0.056000002,-0.121812976,-0.043000001,-0.020236577,0.2
0.91880393,-0.047243712,0.021916501,0.809387855,0.048902894,0.024114198,0.087593464,0.059999999,-0.13239513,-0.086999997,-0.017915241,0.2
0.963425398,-0.045435231,0.023812232,0.80880277,0.04896487,0.023495901,0.063056291,0.067000002,-0.15091005,0,-0.015294374,0.2
1.017134905,-0.043570362,0.025764733,0.806916101,0.049027042,0.021580438,0.086584825,0.071000002,-0.162580044,-0.043000001,-0.012593686,0.2
1.062179804,-0.039243376,0.030260808,0.801091878,0.049146839,0.015710767,0.103466287,0.082999997,-0.196565965,-0.086999997,-0.0063532,0.2
1.113393307,-0.039243376,0.030260808,0.801091878,0.049146839,0.015710767,0.106186188,0.079000004,-0.187092922,-0.130999997,-0.0063532,0.2
1.165819645,-0.033552379,0.036080733,0.789563084,0.049238048,0.004166928,0.104280565,0.082999997,-0.199541429,-0.086999997,0.001786698,0.201786698
1.215275049,-0.031012954,0.038632453,0.783136038,0.049246763,-0.002250799,0.120004963,0.090000004,-0.211179732,-0.174999997,0.005387202,0.205387202
1.260215521,-0.028343819,0.041280715,0.776253447,0.049232081,-0.009113207,0.124961574,0.093999997,-0.214663767,-0.218999997,0.009146173,0.209146173
1.316714048,-0.025441694,0.044119941,0.7679639,0.049187797,-0.017368977,0.134828448,0.104999997,-0.231692059,-0.263000011,0.013204254,0.213204254
1.361323357,-0.019069175,0.050188588,0.750098353,0.048973968,-0.035118661,0.146693444,0.116999999,-0.238153223,-0.218999997,0.021995638,0.221995638
1.412775517,-0.015594138,0.053412192,0.74105647,0.048797234,-0.044073985,0.16068813,0.131999999,-0.256898434,-0.218999997,0.02672827,0.22672827
1.462323904,-0.009966555,0.05852,0.728810957,0.048432363,-0.056145525,0.156692167,0.128000006,-0.233083897,-0.263000011,0.034310903,0.234310903
1.522469521,-0.006020169,0.062027748,0.719807696,0.048124904,-0.065002454,0.160668565,0.131999999,-0.227955655,-0.218999997,0.039574958,0.239574958
1.560679674,-0.001772957,0.065738638,0.712286683,0.047749469,-0.072344163,0.169800946,0.143000007,-0.235165647,-0.174999997,0.045193834,0.245193834
1.617062092,0.002685829,0.06957184,0.703562915,0.047312224,-0.080855759,0.174730374,0.147,-0.227585121,-0.218999997,0.051047448,0.251047448
1.661802292,0.012271109,0.077594836,0.686684889,0.046222936,-0.097197384,0.189301505,0.162,-0.219116303,-0.218999997,0.063474303,0.263474303
1.718153715,0.017353488,0.081742454,0.677400809,0.045572908,-0.106153059,0.20035867,0.172999993,-0.214932195,-0.263000011,0.069987261,0.269987261
1.764703035,0.025412802,0.08815615,0.661405802,0.044431061,-0.121567418,0.196798452,0.169,-0.177495506,-0.307000011,0.08019738,0.28019738
1.81512928,0.031202828,0.092634708,0.649189521,0.043522971,-0.133323038,0.209285979,0.180999994,-0.163095824,-0.263000011,0.087440695,0.287440695
1.86186409,0.037269842,0.097211924,0.636928151,0.04249318,-0.145063904,0.216444517,0.187999994,-0.140291295,-0.263000011,0.094948182,0.294948182
1.916195393,0.040356919,0.099495681,0.631736279,0.041938614,-0.149976236,0.238397671,0.210999995,-0.14266777,-0.263000011,0.098736245,0.298736245
1.961138248,0.056965476,0.111374554,0.606810237,0.038684806,-0.173230007,0.24061339,0.215000004,-0.067834166,-0.130999997,0.118826383,0.318826383
2.016629219,0.063972185,0.116221841,0.600183632,0.037206076,-0.179065479,0.248099696,0.222000003,-0.043591495,-0.218999997,0.127187934,0.327187934
