Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
7.70E-05,0.009112164,0.01907972,0.016545357,0.01907972,0.016545357,0.4,0,0,0,0.009111253,0.209111253
0.005427599,0.009112164,0.01907972,0.016545357,0.01907972,0.016545357,0.4,0,0,0,0.009111253,0.209111253
0.05548501,0.009552103,0.019087,0.01541037,0.019087,0.01541037,0.4,0,0,0,0.009552059,0.209552059
0.108742237,0.012171744,0.019130366,0.017660632,0.019130366,0.017660632,0.4,0.045000002,-0.050521372,0.086999997,0.012171482,0.212171482
0.155752182,0.017810815,0.019232684,0.019007797,0.019232684,0.019007797,0.4,0.123999998,-0.141481739,0.043000001,0.017810251,0.217810251
0.204624891,0.026629142,0.019404467,0.019716038,0.019404467,0.019716038,0.4,0.317000002,-0.366549323,0,0.026628261,0.226628261
0.256445169,0.045265519,0.01977195,0.021343671,0.01977195,0.021343671,0.4,0.370000005,-0.44036701,0,0.045263655,0.245263655
0.307704926,0.068500487,0.020255216,0.016656383,0.020255216,0.016656383,0.4,0.404000014,-0.471560745,-0.130999997,0.068498163,0.268498163
0.35532093,0.094078098,0.020596935,0.00726817,0.020596935,0.00726817,0.4,0.419,-0.457111016,-0.218999997,0.09407554,0.29407554
0.405551672,0.111657828,0.02068634,-0.00356859,0.02068634,-0.00356859,0.4,0.441000015,-0.435739669,-0.218999997,0.111656069,0.311656069
0.45580864,0.129397362,0.020569249,-0.017222447,0.020569249,-0.017222447,0.4,0.441000015,-0.373593119,-0.395000011,0.129395588,0.329395588
0.506431103,0.146813335,0.020201324,-0.031660944,0.020201324,-0.031660944,0.4,0.441000015,-0.302534448,-0.481999993,0.146811593,0.346811593
0.555514574,0.164381737,0.019567429,-0.048265334,0.019567429,-0.048265334,0.4,0.419,-0.20534678,-0.395000011,0.16437998,0.36437998
0.604898691,0.189401729,0.018161325,-0.073347545,0.018161325,-0.073347545,0.4,0.419,-0.071819457,-0.395000011,0.189399227,0.389399227
0.655534983,0.222159899,0.015350434,-0.106377424,0.015350434,-0.106377424,0.4,0.395999998,0.117544569,-0.395000011,0.222156623,0.422156623
0.705635548,0.238221512,0.013571171,-0.120021909,0.013571171,-0.120021909,0.4,0.404000014,0.210589541,-0.395000011,0.238219905,0.438219905
0.754960775,0.254022807,0.011630924,-0.127267901,0.011630924,-0.127267901,0.4,0.395999998,0.273267867,-0.130999997,0.254021226,0.454021226
0.805116892,0.269652693,0.00961022,-0.130547435,0.00961022,-0.130547435,0.4,0.39199999,0.322791834,0,0.269651129,0.469651129
0.855475187,0.285437224,0.007537804,-0.130942187,0.007537804,-0.130942187,0.4,0.39199999,0.364835097,0.086999997,0.285435645,0.485435645
0.907163382,0.300984768,0.00550402,-0.126611637,0.00550402,-0.126611637,0.4,0.400000006,0.395597892,0.174999997,0.300983214,0.500983214
0.9553442,0.340148928,0.000854863,-0.100852902,0.000854863,-0.100852902,0.4,0.388000011,0.374146351,0.307000011,0.340145011,0.540145011
1.004802704,0.355595471,-0.000652412,-0.085407473,-0.000652412,-0.085407473,0.4,0.400000006,0.354211624,0.43900001,0.355595471,0.555595471
1.055293798,0.371243725,-0.001924297,-0.068402138,-0.001924297,-0.068402138,0.4,0.395999998,0.308644687,0.481999993,0.371243725,0.571243725
1.107837915,0.387211274,-0.002940144,-0.050918741,-0.002940144,-0.050918741,0.4,0.395999998,0.259634381,0.395000011,0.387211274,0.587211274
1.154693365,0.403193532,-0.003690731,-0.033705065,-0.003690731,-0.033705065,0.4,0.39199999,0.204326501,0.351000011,0.403193532,0.603193532
1.204779148,0.419026247,-0.004168384,-0.016735716,-0.004168384,-0.016735716,0.4,0.395999998,0.148728178,0.395000011,0.419026247,0.619026247
1.255814791,0.459164032,-0.004216123,0.017234365,-0.004216123,0.017234365,0.4,0.400000006,0.015369064,0.263000011,0.459164032,0.659164032
1.305110455,0.475380774,-0.003894106,0.026416309,-0.003894106,0.026416309,0.4,0.411000013,-0.028551614,0.218999997,0.475380774,0.675380774
1.356102228,0.491434255,-0.003437762,0.034936163,-0.003437762,0.034936163,0.4,0.404000014,-0.071691791,0.130999997,0.491434255,0.691434255
1.405092239,0.507583634,-0.002852153,0.040464175,-0.002852153,0.040464175,0.4,0.407000005,-0.106628771,0.086999997,0.507583634,0.707583634
1.455498934,0.539774937,-0.001494844,0.04298996,-0.001494844,0.04298996,0.4,0.400000006,-0.142029693,0,0.539774937,0.739774937
