Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
0.000350475,0.017275209,0.011619679,0.010142431,0.011619679,0.010142431,0.029637949,0,0,0,0.017273481,0.217273481
0.006033659,0.017275209,0.011619679,0.010142431,0.011619679,0.010142431,0.029637949,0,0,0,0.017273481,0.217273481
0.055194378,0.017275209,0.011619679,0.010142431,0.011619679,0.010142431,0.029637949,0,0,0,0.017273481,0.217273481
0.106147766,0.017335206,0.011620287,0.009282431,0.011620287,0.009282431,0.029641813,0,0,0,0.017335199,0.217335199
0.156480789,0.0174552,0.011621389,0.008708492,0.011621389,0.008708492,0.03175809,0.003,-0.001997649,0.043000001,0.017455188,0.217455188
0.204811096,0.0174552,0.011621389,0.008708492,0.011621389,0.008708492,0.03404499,0.003,-0.001997649,-0.043000001,0.017455188,0.217455188
0.256273508,0.017935187,0.011624909,0.006359471,0.011624909,0.006359471,0.039326451,0.011,-0.007069228,0.043000001,0.017935139,0.217935139
0.306083202,0.018655175,0.011629178,0.006672886,0.011629178,0.006672886,0.056707118,0.026000001,-0.016795759,-0.043000001,0.018655103,0.218655103
0.356883049,0.019775153,0.011636136,0.006381516,0.011636136,0.006381516,0.067329724,0.041000001,-0.026380727,0.043000001,0.019775041,0.219775041
0.406321526,0.021195124,0.011645198,0.00685952,0.011645198,0.00685952,0.07269754,0.045000002,-0.02918892,0,0.021194982,0.221194982
0.456278324,0.022695089,0.011655487,0.006652518,0.011655487,0.006652518,0.078808277,0.052000001,-0.033648648,0,0.022694939,0.222694939
0.506014824,0.025695032,0.011673707,0.005952041,0.011673707,0.005952041,0.079208608,0.056000002,-0.035896732,0.043000001,0.025694732,0.225694732
0.556068659,0.030634959,0.011699951,0.002884413,0.011699951,0.002884413,0.08667899,0.059999999,-0.036704741,0,0.030634959,0.230634959
0.606198311,0.03347495,0.011706922,0.001784196,0.011706922,0.001784196,0.101749729,0.071000002,-0.042680051,-0.043000001,0.03347495,0.23347495
0.655875206,0.036554945,0.011712417,8.52E-05,0.011712417,8.52E-05,0.103892722,0.082999997,-0.048511007,0,0.036554637,0.236554637
0.70678854,0.039794946,0.011711266,-0.001216287,0.011711266,-0.001216287,0.116870086,0.086000003,-0.049144053,-0.043000001,0.039794622,0.239794622
0.757185698,0.047074934,0.011698594,-0.003002991,0.011698594,-0.003002991,0.124962015,0.093999997,-0.051982869,-0.043000001,0.047074206,0.247074206
0.805351019,0.047074934,0.011698594,-0.003002991,0.011698594,-0.003002991,0.114381945,0.097999997,-0.054194906,0,0.047074206,0.247074206
0.85674715,0.060014832,0.011649148,-0.004926075,0.011649148,-0.004926075,0.139595884,0.108999997,-0.057921963,-0.043000001,0.060013538,0.260013538
0.906390905,0.062414802,0.011637325,-0.004604279,0.011637325,-0.004604279,0.120208668,0.112999998,-0.060343219,0,0.062414561,0.262414561
0.958021402,0.067314738,0.011612563,-0.005516334,0.011612563,-0.005516334,0.122058528,0.128000006,-0.067032415,0,0.067314738,0.267314738
1.008049011,0.072354649,0.011582559,-0.00626823,0.011582559,-0.00626823,0.160909505,0.131999999,-0.06794187,-0.043000001,0.072354145,0.272354145
1.05659318,0.082754341,0.011503316,-0.009116963,0.011503316,-0.009116963,0.161459771,0.131999999,-0.063674588,-0.043000001,0.082753301,0.282753301
1.105957747,0.087874108,0.011454368,-0.012344264,0.011454368,-0.012344264,0.158842562,0.131999999,-0.059105527,-0.130999997,0.087873596,0.287873596
1.155868053,0.096293335,0.011340745,-0.017168474,0.011340745,-0.017168474,0.171552283,0.143000007,-0.056344081,-0.086999997,0.096292493,0.296292493
1.206820726,0.105191843,0.011177714,-0.020432246,0.011177714,-0.020432246,0.177326874,0.147,-0.051944083,-0.043000001,0.105190953,0.305190953
1.257571936,0.108431166,0.011111518,-0.020752977,0.011111518,-0.020752977,0.192368815,0.162,-0.056193291,-0.043000001,0.108430842,0.308430842
1.306178331,0.114749748,0.010977583,-0.022379355,0.010977583,-0.022379355,0.19952358,0.169,-0.054754898,-0.043000001,0.114749116,0.314749116
1.355956078,0.128285929,0.010656054,-0.024814704,0.010656054,-0.024814704,0.180513028,0.172999993,-0.049082116,0,0.128285929,0.328285929
1.406003475,0.135683574,0.010469263,-0.026345193,0.010469263,-0.026345193,0.215806267,0.185000002,-0.047943267,-0.043000001,0.135682834,0.335682834
1.456241608,0.146979403,0.01016183,-0.027875664,0.01016183,-0.027875664,0.222807203,0.192000002,-0.043888825,-0.043000001,0.146978273,0.346978273
1.50783658,0.158574609,0.009828474,-0.030916454,0.009828474,-0.030916454,0.222413499,0.192000002,-0.034874651,-0.043000001,0.15857345,0.35857345
1.55611968,0.1627926,0.009698027,-0.032072935,0.009698027,-0.032072935,0.239573055,0.218999997,-0.035827156,0,0.162792178,0.362792178
1.606395721,0.171168162,0.009425537,-0.033721491,0.009425537,-0.033721491,0.251139932,0.225999996,-0.030185422,-0.086999997,0.171167325,0.371167325
1.656620741,0.188936997,0.008795713,-0.038290697,0.008795713,-0.038290697,0.250656071,0.222000003,-0.012552979,-0.043000001,0.18893522,0.38893522
1.707252741,0.198289823,0.008429263,-0.040509622,0.008429263,-0.040509622,0.243487334,0.233999997,-0.003768664,-0.086999997,0.198288887,0.398288887
1.755986214,0.20792192,0.008038858,-0.042261702,0.008038858,-0.042261702,0.237827332,0.240999997,0.005030078,-0.086999997,0.207920956,0.407920956
1.806044102,0.222688723,0.007414415,-0.043817833,0.007414415,-0.043817833,0.269290438,0.240999997,0.016286319,0,0.222687246,0.422687246
1.856533527,0.242549649,0.006543628,-0.044704815,0.006543628,-0.044704815,0.240136363,0.252000004,0.030218921,-0.043000001,0.242549649,0.442549649
1.905793667,0.242549649,0.006543628,-0.044704815,0.006543628,-0.044704815,0.281429922,0.252000004,0.030218921,0.043000001,0.242549649,0.442549649
1.956779957,0.262868948,0.005626169,-0.044579088,0.005626169,-0.044579088,0.266853522,0.248999998,0.040956249,0,0.262866916,0.462866916
2.006716013,0.273098963,0.005174298,-0.044445876,0.005174298,-0.044445876,0.218620004,0.25999999,0.04828947,-0.043000001,0.273098963,0.473098963
2.05783844,0.283408961,0.004720303,-0.043375211,0.004720303,-0.043375211,0.26568552,0.263999999,0.052196129,0,0.28340793,0.48340793
2.106975794,0.298754708,0.004058599,-0.040561183,0.004058599,-0.040561183,0.287775105,0.25999999,0.052690068,0.043000001,0.298753174,0.498753174
2.1559484,0.319158867,0.003254164,-0.03845922,0.003254164,-0.03845922,0.248716336,0.248999998,0.055240993,0,0.319156826,0.519156826
2.204684973,0.319158867,0.003254164,-0.03845922,0.003254164,-0.03845922,0.256135875,0.263999999,0.058568763,0,0.319156826,0.519156826
2.255924702,0.339864463,0.002482335,-0.035835124,0.002482335,-0.035835124,0.28026025,0.252000004,0.059019042,0.043000001,0.339862392,0.539862392
2.307132721,0.350098046,0.00211993,-0.033139212,0.00211993,-0.033139212,0.288066327,0.25999999,0.058595793,0.043000001,0.350097022,0.550097022
2.356695414,0.36041251,0.001782534,-0.029625659,0.001782534,-0.029625659,0.28320805,0.263999999,0.05467699,0.086999997,0.360411479,0.560411479
2.406455755,0.37594647,0.00134977,-0.022846066,0.00134977,-0.022846066,0.224125501,0.268000007,0.043138167,0.130999997,0.375944916,0.575944916
2.455996275,0.397342342,0.000932576,-0.013908784,0.000932576,-0.013908784,0.209262842,0.25999999,0.024038961,0.130999997,0.397340202,0.597340202
2.507630348,0.408061481,0.000797521,-0.01055331,0.000797521,-0.01055331,0.268733394,0.268000007,0.017595916,0.043000001,0.408060409,0.608060409
2.556539536,0.418300976,0.000698365,-0.008889021,0.000698365,-0.008889021,0.261764134,0.252000004,0.013600843,0.043000001,0.418299952,0.618299952
2.606364489,0.42832061,0.000613581,-0.008707734,0.000613581,-0.008707734,0.2783042,0.248999998,0.014043085,0,0.428319608,0.628319608
2.656308651,0.43828021,0.000526854,-0.008540284,0.000526854,-0.008540284,0.278191011,0.248999998,0.014705896,0,0.438279214,0.638279214
2.708909988,0.448139846,0.000442648,-0.007335073,0.000442648,-0.007335073,0.260735334,0.252000004,0.012906982,0.043000001,0.44813886,0.64813886
2.756422997,0.463439582,0.000352917,-0.00492738,0.000352917,-0.00492738,0.293848075,0.263999999,0.008349779,0,0.463438052,0.663438052
2.806433678,0.484619427,0.000279907,-0.002292838,0.000279907,-0.002292838,0.300909733,0.270999998,0.002420843,0,0.484617309,0.684617309
2.855848312,0.495779396,0.000259048,-0.001932035,0.000259048,-0.001932035,0.251597015,0.275000006,0.001751173,-0.043000001,0.49577828,0.69577828
2.907066822,0.504273717,0.001330171,-0.002683828,0.001330171,-0.002683828,0.31325216,0.286000013,-0.011345271,0,0.504272868,0.704272868
2.969453812,0.499892464,0.00768295,-0.004822672,0.00768295,-0.004822672,0.321738968,0.289999992,-0.09286024,-0.043000001,0.499892902,0.704272868
3.006882906,0.495622764,0.013822815,-0.006385235,0.013822815,-0.006385235,0.300116447,0.282999992,-0.161677237,-0.043000001,0.495623191,0.704272868
3.057295799,0.524942316,0.013656256,-0.006884743,0.013656256,-0.006884743,0.312295887,0.289999992,-0.177224627,-0.043000001,0.524939384,0.724939384
3.105104923,0.524942316,0.013656256,-0.006884743,0.013656256,-0.006884743,0.332033292,0.305000007,-0.186391428,-0.043000001,0.524939384,0.724939384
