Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
8.85E-05,-0.013310287,-0.004742641,0.746359547,0.006057955,-0.038974459,0.028255046,0,0,0,-0.012764466,0.2
0.006971836,-0.013310287,-0.004742641,0.746359547,0.006057955,-0.038974459,0.028255046,0,0,0,-0.012764466,0.2
0.055801392,-0.013310287,-0.004742641,0.746359547,0.006057955,-0.038974459,0.028255046,0,0,0,-0.012764466,0.2
0.108094692,-0.013266237,-0.004701903,0.74706873,0.006055618,-0.038265848,0.028262344,0,0,0,-0.012705791,0.2
0.156656265,-0.013222216,-0.004661134,0.747890062,0.006053322,-0.037445097,0.030309756,0.003,0.000119926,0.043000001,-0.012645831,0.2
0.206719875,-0.012899997,-0.00436151,0.752208894,0.006037371,-0.033130449,0.042872569,0.015,-8.47E-06,0.086999997,-0.012206133,0.2
0.26038456,-0.012462245,-0.003951177,0.757735732,0.006018016,-0.027609081,0.037783234,0.011,-0.000580801,0.130999997,-0.011606428,0.2
0.306635618,-0.01160924,-0.003135846,0.771469474,0.005991435,-0.013885307,0.052204677,0.026000001,-0.004787019,0.130999997,-0.010426733,0.2
0.355263948,-0.01160924,-0.003135846,0.771469474,0.005991435,-0.013885307,0.038418764,0.017999999,-0.00331409,0.218999997,-0.010426733,0.2
0.41569519,-0.009506803,-0.001052348,0.792248629,0.005978139,0.006873471,0.053635032,0.029999999,-0.0117241,0.174999997,-0.007466887,0.2
0.456457138,-0.008987141,-0.000525516,0.794784212,0.005983224,0.009404993,0.060516356,0.037,-0.015469626,0.174999997,-0.006726654,0.2
0.506174088,-0.007951411,0.000531679,0.799236406,0.005998425,0.01385031,0.060694897,0.037,-0.01729806,0.174999997,-0.005246765,0.2
0.558027267,-0.006809037,0.001708361,0.803013749,0.0060227,0.017621965,0.067251539,0.045000002,-0.023047869,0.086999997,-0.003606927,0.2
0.6071558,-0.004051068,0.004577847,0.80967065,0.006101565,0.024273514,0.074741927,0.052000001,-0.031109158,0.086999997,0.000372079,0.200372079
0.656759739,-0.002562648,0.006143161,0.81273071,0.006155941,0.027335679,0.084600098,0.059999999,-0.037990152,0.086999997,0.002531784,0.202531784
0.706086874,-5.03E-05,0.008804664,0.816418217,0.006261425,0.031034794,0.092036776,0.067000002,-0.045434825,0.086999997,0.006190187,0.206190187
0.756987095,0.002714725,0.011750227,0.818460196,0.006389203,0.03310133,0.086725423,0.067000002,-0.047450248,0,0.010228009,0.210228009
0.806391478,0.003685077,0.01278696,0.819014521,0.006436206,0.033667212,0.092659624,0.071000002,-0.05092757,0.043000001,0.011647162,0.211647162
0.860505581,0.005788536,0.015036818,0.819844471,0.006539927,0.034527461,0.099795851,0.082999997,-0.060872818,0,0.014725215,0.214725215
0.906217575,0.010414352,0.019993655,0.819643011,0.006774835,0.034417919,0.099095384,0.082999997,-0.062188844,0,0.021500517,0.221500517
0.956810474,0.012830338,0.022581048,0.819280089,0.006896758,0.034116775,0.114809205,0.093999997,-0.070977884,0.043000001,0.025038007,0.225038007
1.005977392,0.015341717,0.025270914,0.818448634,0.007023964,0.033359567,0.115382255,0.090000004,-0.068106621,-0.086999997,0.02871529,0.22871529
1.057585716,0.019297785,0.029484925,0.814952358,0.007208527,0.030000546,0.123757823,0.097999997,-0.072224848,-0.086999997,0.034491352,0.234491352
1.107793093,0.025183312,0.035700544,0.809276243,0.007446786,0.024574045,0.123374907,0.101000004,-0.070855394,-0.043000001,0.043046172,0.243046172
1.154803276,0.025183312,0.035700544,0.809276243,0.007446786,0.024574045,0.143478913,0.116999999,-0.082080008,-0.130999997,0.043046172,0.243046172
1.206329107,0.03175425,0.04256149,0.803214533,0.007660031,0.018854149,0.152808961,0.128000006,-0.084831127,-0.086999997,0.052541177,0.252541177
1.256244183,0.035201663,0.046127569,0.800292393,0.00774959,0.016137557,0.143392053,0.131999999,-0.085025211,-0.043000001,0.057498813,0.257498813
1.306938887,0.038922625,0.049957721,0.797517705,0.007834074,0.013605019,0.158450427,0.135000005,-0.08470399,-0.086999997,0.062836257,0.262836257
1.35832572,0.042654197,0.053777531,0.794981162,0.007905095,0.011332563,0.158878165,0.135000005,-0.082714042,-0.086999997,0.068173705,0.268173705
1.406664133,0.048671854,0.059893426,0.790606038,0.007991548,0.00742775,0.169172606,0.147,-0.086021052,-0.130999997,0.076749506,0.276749506
1.456852913,0.057251651,0.068538609,0.786120066,0.008069362,0.003706769,0.150774168,0.153999999,-0.086579921,-0.043000001,0.088923061,0.288923061
1.506546974,0.06162213,0.072907967,0.7829669,0.008088336,0.0009858,0.168333363,0.150999993,-0.081736749,-0.086999997,0.095099595,0.295099595
1.556444883,0.066162579,0.077418431,0.779483241,0.00809052,-0.002018493,0.182707271,0.162,-0.083750909,-0.130999997,0.101495713,0.301495713
1.606621027,0.070720566,0.081911175,0.77507753,0.008070943,-0.005912504,0.183226789,0.162,-0.078207431,-0.130999997,0.107891548,0.307891548
1.658363581,0.075355596,0.086439617,0.769516412,0.008025904,-0.010922596,0.190743147,0.169,-0.073730562,-0.130999997,0.114366948,0.314366948
1.706115723,0.082770316,0.093588853,0.762518192,0.007894042,-0.01697628,0.197662074,0.180999994,-0.068522795,-0.086999997,0.124658534,0.324658534
1.756792068,0.093478039,0.103747658,0.753731652,0.007603892,-0.024258707,0.215770251,0.192000002,-0.05857224,-0.130999997,0.139403944,0.339403944
1.807019949,0.099082497,0.108998595,0.750785361,0.007414027,-0.026352066,0.218393213,0.195999995,-0.055265471,-0.086999997,0.147075269,0.347075269
1.856033802,0.104819391,0.114342157,0.747950695,0.007204207,-0.028265531,0.236196144,0.210999995,-0.054848486,-0.086999997,0.154905728,0.354905728
1.906168938,0.110894128,0.119968515,0.745368017,0.006967359,-0.029818501,0.226429343,0.207000002,-0.049832028,-0.043000001,0.163175038,0.363175038
1.95639801,0.117098571,0.125690268,0.742216973,0.006716816,-0.031859846,0.24710029,0.218999997,-0.047364897,-0.086999997,0.171603726,0.371603726
2.006403685,0.126679909,0.134446885,0.7391849,0.006292173,-0.033065789,0.249804601,0.222000003,-0.043590428,-0.130999997,0.184564861,0.384564861
2.056285381,0.140081236,0.146612927,0.732956393,0.005681314,-0.036496772,0.264498209,0.233999997,-0.035304401,-0.086999997,0.20263771,0.40263771
2.106138229,0.147087683,0.152909435,0.72878925,0.005336696,-0.039090967,0.266966681,0.237000003,-0.028005071,-0.130999997,0.212042841,0.412042841
2.161907434,0.154568247,0.159575882,0.72569485,0.004945103,-0.040420231,0.28155779,0.252000004,-0.024367047,-0.043000001,0.222046112,0.422046112
2.208560228,0.162191935,0.166322117,0.723666592,0.004530224,-0.040557584,0.29566654,0.263999999,-0.022832602,-0.086999997,0.232208698,0.432208698
2.256296635,0.170051447,0.173254527,0.722048126,0.004106907,-0.040124582,0.273252378,0.263999999,-0.021724259,0,0.242671283,0.442671283
2.306003332,0.182160654,0.183925369,0.71917473,0.003491064,-0.039620599,0.292967936,0.279000014,-0.021421318,0,0.258786685,0.458786685
