Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
8.65E-05,0,0,0,0
0.001186132,0,0,0,0
0.201432467,0,0,0,0
0.401426315,0,0,0,0
0.601443052,0,0,0,0
0.801377058,0,0,0,0
1.001425266,0,0,0,0
1.201407194,0,0,0,0
1.401580095,0,0,0,0
1.601462603,0,0,0,0
1.801412106,0.3,0,0,0
2.001393557,0.3,0.215000004,0,0.043000001
2.201396704,0.3,0.319999993,0,0.043000001
2.401382923,0.3,0.308999985,0,0.086999997
2.601449966,0.3,0.301999986,0,0
2.801406622,0.3,0.298000008,0,-0.043000001
3.001371861,0.3,0.301999986,0,0
3.201408625,0.3,0.301999986,0,0
3.40140605,0.3,0.286000013,0,0
3.601421356,0.3,0.305000007,0,-0.043000001
3.801561832,-0.3,0.301999986,0,0
4.001432419,-0.3,-0.128000006,0,-0.086999997
4.201423645,-0.3,-0.331999987,0,0
4.401372194,-0.3,-0.317000002,0,0
4.601443291,-0.3,-0.289999992,0,-0.043000001
4.801390171,-0.3,-0.294,0,0
5.001488924,-0.3,-0.301999986,0,0
5.201465845,-0.3,-0.298000008,0,0.043000001
5.401404142,-0.3,-0.286000013,0,0
5.601382256,-0.3,-0.298000008,0,0.043000001
5.801387787,-0.3,-0.301999986,0,0
6.001506567,-0.3,-0.298000008,0,0.043000001
6.201683044,-0.3,-0.298000008,0,-0.043000001
6.401458502,-0.3,-0.298000008,0,0.043000001
6.601410627,-0.3,-0.301999986,0,0
6.801401854,-0.3,-0.301999986,0,0
7.001381874,-0.3,-0.289999992,0,-0.043000001
7.201413393,-0.3,-0.308999985,0,0
7.401485443,-0.3,-0.301999986,0,0
7.601361036,-0.3,-0.294,0,0
7.801481485,-0.3,-0.301999986,0,0
8.001383781,-0.3,-0.294,0,0
8.201405048,-0.3,-0.298000008,0,-0.043000001
8.401434898,-0.3,-0.305000007,0,0.043000001
8.601553679,-0.3,-0.286000013,0,0
8.801695585,-0.3,-0.301999986,0,0
9.001416445,-0.3,-0.289999992,0,-0.043000001
9.201399803,-0.3,-0.298000008,0,0.043000001
9.401422024,-0.3,-0.301999986,0,0
9.601407766,-0.3,-0.294,0,0
9.801596403,0.3,-0.298000008,0,0.043000001
10.00151515,0.3,0.104999997,0,0.086999997
10.20142722,0.3,0.338999987,0,0
10.40145922,0.3,0.308999985,0,0.086999997
10.60140014,0.3,0.294,0,0
10.80136275,0.3,0.301999986,0,0
11.00152969,0.3,0.301999986,0,0
11.2015574,0.3,0.301999986,0,0
11.4014473,0.3,0.301999986,0,0
11.60140276,0.3,0.298000008,0,-0.043000001
11.80134225,-0.3,0.289999992,0,-0.043000001
12.0014112,-0.3,-0.086000003,0,-0.130999997
12.20151854,-0.3,-0.331999987,0,0
12.40151405,-0.3,-0.308999985,0,0
12.60146093,-0.3,-0.282999992,0,-0.043000001
12.80140972,-0.3,-0.298000008,0,0.043000001
13.00134873,-0.3,-0.298000008,0,0.043000001
13.20145082,-0.3,-0.289999992,0,0.043000001
13.40154767,-0.3,-0.294,0,0
13.60148001,-0.3,-0.294,0,0
13.80139637,-0.3,-0.305000007,0,-0.043000001
14.00136662,-0.3,-0.294,0,0
14.20138955,-0.3,-0.294,0,0
14.40141106,-0.3,-0.301999986,0,0
14.60150814,-0.3,-0.301999986,0,0
14.80147338,-0.3,-0.301999986,0,0
15.00140572,-0.3,-0.301999986,0,0
15.20138216,-0.3,-0.298000008,0,-0.043000001
15.40143371,-0.3,-0.294,0,0
15.60140014,-0.3,-0.294,0,0
15.80162382,0.3,-0.298000008,0,-0.043000001
16.0014596,0.3,0.195999995,0,0.086999997
16.20140672,0.3,0.324000001,0,0
16.40142059,0.3,0.312999994,0,0.130999997
16.60144258,0.3,0.289999992,0,-0.043000001
16.80141521,0.3,0.301999986,0,-0.086999997
17.00154448,0.3,0.301999986,0,0
17.20149755,0.3,0.298000008,0,0.043000001
17.401402,0.3,0.282999992,0,0.043000001
17.60140491,0.3,0.294,0,0
17.80139971,0.3,0.305000007,0,-0.043000001
18.00145769,0.3,0.298000008,0,-0.043000001
18.20158792,0.3,0.298000008,0,0.043000001
18.40143824,0.3,0.294,0,0
18.60139656,0.3,0.301999986,0,0
18.80140424,0.3,0.301999986,0,0
19.00140095,0.3,0.301999986,0,0
19.20141625,0.3,0.301999986,0,0
19.40162969,0.3,0.294,0,0
19.6014142,0.3,0.301999986,0,0
19.80140972,-0.3,0.294,0,0
20.00140548,-0.3,-0.101000004,0,-0.130999997
20.20146227,-0.3,-0.338999987,0,0
20.40139771,-0.3,-0.312999994,0,-0.043000001
20.60142326,-0.3,-0.298000008,0,0.043000001
20.80145097,-0.3,-0.301999986,0,0
21.00147867,-0.3,-0.294,0,0
21.20136166,-0.3,-0.301999986,0,0
21.40137863,-0.3,-0.298000008,0,-0.043000001
21.60152578,-0.3,-0.301999986,0,0
21.8015151,0.3,-0.301999986,0,0
22.00140476,0.3,0.180999994,0,0.086999997
22.20138836,0.3,0.338999987,0,0
22.40138745,0.3,0.312999994,0,0.043000001
22.60145879,0.3,0.294,0,-0.086999997
22.80153894,0.3,0.298000008,0,0.043000001
23.0015769,0.3,0.301999986,0,0
23.20142722,0.3,0.294,0,-0.086999997
23.40141249,0.3,0.301999986,0,0
23.60139132,0.3,0.298000008,0,0.043000001
23.80141854,-0.3,0.289999992,0,0.043000001
24.00151324,-0.3,-0.143000007,0,-0.086999997
24.20145273,-0.3,-0.331999987,0,0
24.40143251,-0.3,-0.312999994,0,-0.043000001
24.60140204,-0.3,-0.294,0,0
24.801373,-0.3,-0.298000008,0,0.043000001
25.00153756,-0.3,-0.294,0,0
25.20159054,-0.3,-0.294,0,0
25.40151572,-0.3,-0.294,0,0
