Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),corrected_linear_x (m/s)
0.000124216,0,0,0,0,0
0.001389742,0,0,0,0,0
0.201658726,0,0,0,0,0
0.401598215,0,0,0,0,0
0.601630449,0,0,0,0,0
0.801735401,0,0,0,0,0
1.001719236,0,0,0,0,0
1.201900244,0,0,0,0,0
1.401903152,0,0,0,0,0
1.601858854,0,0,0,0,0
1.80180335,-0.4,0,0,0,0
2.001732111,-0.4,-0.319999993,0,0.043000001,-0.317759993
2.201804161,-0.4,-0.441000015,0,-0.043000001,-0.437913015
2.401812077,-0.4,-0.407000005,0,0,-0.404151005
2.601733685,-0.4,-0.395999998,0,-0.043000001,-0.393227998
2.801930666,-0.4,-0.400000006,0,0,-0.397200006
3.001787424,-0.4,-0.407000005,0,0,-0.404151005
3.201760054,-0.4,-0.39199999,0,0,-0.38925599
3.401906013,-0.4,-0.400000006,0,0,-0.397200006
3.601778507,-0.4,-0.395999998,0,0.043000001,-0.393227998
3.801725864,0.4,-0.400000006,0,0.086999997,-0.397200006
4.001736641,0.4,0.225999996,0,0.086999997,0.224417996
4.201832294,0.4,0.460000008,0,0,0.456780008
4.401864767,0.4,0.425999999,0,-0.130999997,0.423017999
4.601883173,0.4,0.39199999,0,0.086999997,0.38925599
4.801753283,0.4,0.395999998,0,0.043000001,0.393227998
5.001726627,0.4,0.400000006,0,0,0.397200006
5.201859713,0.4,0.39199999,0,0,0.38925599
5.401838064,0.4,0.395999998,0,0.043000001,0.393227998
5.601843596,0.4,0.404000014,0,0.043000001,0.401172014
5.801688194,0.4,0.404000014,0,0.043000001,0.401172014
6.001761913,0.4,0.400000006,0,0,0.397200006
6.201853752,0.4,0.407000005,0,0,0.404151005
6.401799917,0.4,0.395999998,0,-0.043000001,0.393227998
6.601734877,0.4,0.400000006,0,0,0.397200006
6.801837444,0.4,0.39199999,0,0,0.38925599
7.001771212,0.4,0.39199999,0,0,0.38925599
7.201891661,0.4,0.395999998,0,0.043000001,0.393227998
7.40173316,0.4,0.395999998,0,0.043000001,0.393227998
7.601784706,0.4,0.404000014,0,-0.043000001,0.401172014
7.801758051,0.4,0.404000014,0,-0.043000001,0.401172014
8.001732111,0.4,0.395999998,0,0.043000001,0.393227998
8.201807022,0.4,0.395999998,0,-0.043000001,0.393227998
8.401748419,0.4,0.39199999,0,-0.086999997,0.38925599
8.601741314,0.4,0.400000006,0,0,0.397200006
8.801727533,0.4,0.388000011,0,-0.043000001,0.385284011
9.001817942,0.4,0.407000005,0,0,0.404151005
9.201874018,0.4,0.395999998,0,-0.043000001,0.393227998
9.401719809,0.4,0.407000005,0,0,0.404151005
9.60193634,0.4,0.400000006,0,0,0.397200006
9.801755667,0.4,0.414999992,0,0,0.412094992
10.00186062,0.4,0.400000006,0,0,0.397200006
10.20180297,0.4,0.404000014,0,-0.043000001,0.401172014
10.40191674,0.4,0.400000006,0,0,0.397200006
10.60179353,0.4,0.395999998,0,-0.043000001,0.393227998
10.80177164,0.4,0.395999998,0,-0.043000001,0.393227998
11.00191689,0.4,0.395999998,0,0.043000001,0.393227998
11.20179105,0.4,0.400000006,0,0,0.397200006
11.40189362,0.4,0.400000006,0,0,0.397200006
11.60176039,0.4,0.395999998,0,-0.043000001,0.393227998
11.80174708,-0.4,0.400000006,0,0,0.397200006
12.00171804,-0.4,-0.172999993,0,0.086999997,-0.171788993
