Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
0.000123262,0,0,0,0
0.00152421,0,0,0,0
0.201864004,0,0,0,0
0.401970625,0,0,0,0
0.601955414,0,0,0,0
0.802017212,0,0,0,0
1.001758337,0,0,0,0
1.20178318,0,0,0,0
1.401791573,0,0,0,0
1.601782322,0,0,0,0
1.801787138,0,0,0.8,0
2.001860857,0,0,0.8,0.526000023
2.201843977,0,0,0.8,0.790000021
2.401809931,0,0,0.8,0.790000021
2.601935148,0,0,0.8,0.790000021
2.801822186,0,0.003,0.8,0.745999992
3.00184989,0,0.003,0.8,0.833999991
3.201818228,0,0,0.8,0.702000022
3.401850462,0,0,0.8,0.790000021
3.601888418,0,0.003,0.8,0.745999992
3.801823616,0,-0.003,-0.8,0.833999991
4.001844168,0,-0.007,-0.8,-0.086999997
4.201842308,0,0,-0.8,-0.526000023
4.40182972,0,0,-0.8,-0.702000022
4.601837397,0,-0.003,-0.8,-0.833999991
4.801942348,0,0,-0.8,-0.878000021
5.001832724,0,-0.007,-0.8,-0.878000021
5.201827049,0,0,-0.8,-0.790000021
5.401838064,0,0.003,-0.8,-0.745999992
5.601828337,0,-0.003,-0.8,-0.833999991
5.801878929,0,-0.003,-0.8,-0.833999991
6.001938105,0,0,-0.8,-0.878000021
6.201824427,0,0,-0.8,-0.790000021
6.401810884,0,0.003,-0.8,-0.833999991
6.60184145,0,0.003,-0.8,-0.833999991
6.801834583,0,0.003,-0.8,-0.833999991
7.001799822,0,0.003,-0.8,-0.833999991
7.201774836,0,0,-0.8,-0.790000021
7.401839972,0,0,-0.8,-0.790000021
7.601795197,0,0.003,-0.8,-0.745999992
7.801783562,0,0,-0.8,-0.702000022
8.001839161,0,0,-0.8,-0.702000022
8.201811552,0,0,-0.8,-0.790000021
8.401767969,0,0.003,-0.8,-0.745999992
8.60188961,0,0,-0.8,-0.702000022
8.801885366,0,-0.003,-0.8,-0.833999991
9.001782179,0,0,-0.8,-0.790000021
9.201756477,0,0.003,-0.8,-0.833999991
9.401785612,0,0.003,-0.8,-0.833999991
9.601779461,0,0,-0.8,-0.790000021
9.801762581,0,-0.003,0.8,-0.745999992
10.00178742,0,0,0.8,0.086999997
10.20176244,0,0,0.8,0.702000022
10.40180326,0,-0.003,0.8,0.745999992
10.60182333,0,0,0.8,0.790000021
10.80183196,0,0,0.8,0.702000022
11.00180459,0,0.003,0.8,0.745999992
11.20178008,0,-0.003,0.8,0.745999992
11.4018445,0,0,0.8,0.790000021
11.60183239,0,-0.003,0.8,0.833999991
11.80180979,0,0,-0.8,0.790000021
12.0018568,0,0.007,-0.8,-0.086999997
12.20205855,0,0,-0.8,-0.614000022
12.40182543,0,-0.003,-0.8,-0.745999992
12.60187054,0,-0.003,-0.8,-0.745999992
12.80186796,0,0,-0.8,-0.790000021
13.0018518,0,0,-0.8,-0.790000021
13.20191526,0,0,-0.8,-0.790000021
13.40183568,0,0,-0.8,-0.878000021
13.60181308,0,-0.003,-0.8,-0.745999992
13.80187058,0,0,-0.8,-0.702000022
14.00188518,0,0,-0.8,-0.790000021
14.20187998,0,0,-0.8,-0.878000021
